,job title,company name,salary,city,state,qualifications
0,Sr. Statistical Modeler – Credit Risk,Fora Financial LLC,$69K - $175K (Employer est.),Remote,Remote,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_66c94ac4&cb=1671241408406&jobListingId=1008196619900&cpc=D01B1BD33E10617D&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-325b6cf8175a7743--6NYlbfkN0AVmeVdBxbwCBum3pEXmqWPa4HbGlv0gYd5ueWyFHBBN_PS28y4Xjpdvyxwbm1XRFjkrzajqn_--Kkz1KduJfHHRyHqU7yfRX7h9s_0XXVUc9IrcaIKMgNovReUpDYxeVF7rBWeNvA7cqjdDh5osXHedJZhbvAn21wW1JeD1YtkAixNnnesSVz-1l_NVYPscOlMyPRqk0_FY-8mvK4v2C4Hp-_s6zX1gfgxNwMHZEmBB3iPkJeBNpMh1KuqDPhOtlhqEVAPFPTCnqihqE99gb_tJDXPvQ4UeviMkvIFiEEGIwTA4VWiZamHdIzh3tHw-efmsgZ_zU6n4saaypb0fnwkzurLUyxeJaQWvmsKVVTB8IVRdlCze_xwm3OKm8g60xBZZEBjuw8X7EJvPSNkyfWDWJe7hFxxlf66xnK_PQs5aOLC2aV2HBnOBGmzuLVfXqU2hwfBLZZjYJyNu4JBAurnJwCW0L5dN209vV_oy8TYS_eH3czM3HQXRto5Lgg_OvbnULBmlZhyuCm6ehMIJFX0HhqLVOen9atzrknz8XwM2poPLfxiEXWL7FSKVIaZ2JTKdnhdf7tMVNSqQCErpnXF_YQ_bdpoYzg%3D
1,Director of Data Science,Klein Hersh International,$94K - $137K (Glassdoor est.),Philadelphia,PA,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_4047231d&cb=1671241408406&jobListingId=1008106309944&cpc=C7B9502087136383&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-cadfde065bde5c0a--6NYlbfkN0B6r0MQM7tzlXsAiVFnhMI9dYL5EKq7SUYTGwVfYdsqRfNB59_EbA3a_GUtTZAQiLtI-I_M3VM9Ao9OUQB6hXAUD7EduNf_Mnqm7lUB-O-UEEiDJlYHm3FsG-l42eyw7iXxHBbV0vsJMknVQgPRd8iBOFDxqdLrwrFrGbqeYsLiNlhBBwO8s6yUyALinZ2XuTXPt21Kyaa3fNlhnBG_nLEG-d_Moy-ynOvfWR6mM4rtK03y_seX-BUVt9IIg66SFzxUXAr39hxHuRMmlgAAt1raqCzTassp_3FvtAsKEJpVmKOKHc8lU_IlYc9JeC5wSp8h8wZ_fUtD6264HSHk2dqVYrZyQFWxBIS_24OvznIIyQ2jloGHToQYblp8Tyx_BzarOl6iArPUasQZoyZXym7zHPhnDBb9duiypTRNnKk2251aOoLEdkjQlteEa2OCjzhyqlt-AydMsdmf-TuZ1jCKNQ_Xzkx2syIuST7TV-fa3Df6Jwl3c4rRb9k917oLaxRq5CNisC1Ucv1gfWBzHWLfrP8RpZH-G4buSf5bMeMJK4cKI-COXzj_f5Zlz5qLEP3c1NVimRXrcpxjFMBddPi4SxziOUg1khuozhNtkTQzvFyBiFFl9cZRu7YlYA8lxJmtyapsmyMsMqF2VLgcFyB730gJQXvpnXEHBo_k7Wh36g%3D%3D
2,"Manager, Information Management",American National Bank,$84K - $128K (Glassdoor est.),Omaha,NE,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cccd3ffb&cb=1671241408406&jobListingId=1008337028836&cpc=B36DCB80D2A155BC&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-e246037d6d1dda8d--6NYlbfkN0ArcZ5Sn0wQGLuk3IRl2cJ3NEPZJKyxq4Pn8aSnzAQ15M9Wfva1RToqzPNHhRi_rEiv23sbqFcaHwgJCkRKb9Z1w2S30SUlyVq8kVL1zO-WVYpPh9beo2EoeVx3YXP4EaqAdXdeMrIkkQA4TI2JX89p8pW-WVGmLMVEJr91Rq2c8phC_DLsV63xFzlRSw3XndZLV1uRXRh7P-eRUJnAHgNujKoR2Tm8pwTFnIoaYTG_Ky2rLRp0EkmCP-k9gNorxYRUk34AZrzP4n2h27RVwbQUo8S73oWcgCroiufvUDKbUJ3IovyK--3uIaKgjNqoRdBvQxvxruAfNi-ssWlWxeIs3KuLwYtioB--zac4B2nAvzXDXDpJkGUI875khAbEZPa2YB9psRFmqzT2xdLzC76y9z2RPFF9cM0s00rRZCUAD3ey6HN2KHciDDCsAu4Hl8yiyogd2497oM03ImX16LLEtZttWXcTI0kaHjQMrkYycBIdQ4vKbZkCozghTw6akrufDtCZyfAr8k98T6dAfn9H48yXFZnEMu75o9xdSF2ctXnj44kwTZOndPk2qLeYIdYKezdcWH1abZjlZtQCJvOMA26xF0aW8MQ%3D
3,Data Architect,Tesseon,$26.00 - $28.00 Per Hour(Employer est.),Jefferson City,MO,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_89fa1c8e&cb=1671241408406&jobListingId=1008331719135&cpc=0F486A8DDDB13640&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-d153bbb4e274b2bb--6NYlbfkN0DUhR5hn1yANLixm7CHvoYm6KjfeCmNY4eybsce_dT1MA2ZrwrQxxHOmWyRU4-iawkmX_2U5KhDuSHEDvalZqAeujodwxgtudqQUO7_cHEz_r5aMj2AFIomFpdhelrOK9muKoI-MuC1iZhv2ejzb1R_EJ6q_oFCsR55dH1syBP6mIPxkPWXh-ogVHVUP2bn-LifdoBaieJfkoEeBc79k2dH2ArnrlHHSiUba9XcxmVQP92BGMKsv3vsFeszbfy54-Knbu9QVojiF5ZBbimF608lRbaDHGtO7RfnvZe4v-ls7JIjV7EFkYsuVoqCw-AqYJ-rgwLisJ2_r-7ULHS5PCGP3UJwA4-qPbNUWFOE4l2A2Xobem_Dk6IXyOd2AJUuZIDpX7DO3M9JzszzK1nfDuuSGQtltTmAbRxJzon8-1iUEYw6LTHFGy96OjUiuk7B1268WW73YnSTnkAX4mF55UdIGSQb54-4tv6NN_08ryu8tgemLqYt50MC_fbVMRmD4Hb2DNUpoGy9ygiz9DVzbt0jK6XQUEp5yR_9bb2eBJ-PqygTV-8ZF2XW0co0UIygUiXhQIOpZQGmwZUvOqaiVe5tjv77vyivveU2dyqeVwztmgG-3uozv-FwsEhLgyST6Iz70fQpdAoUkw%3D%3D
4,SCIENTIFIC DIRECTOR,Seattle Indian Health Board,$90K - $110K (Employer est.),Seattle,WA,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_207dbc94&cb=1671241408407&jobListingId=1007972000319&cpc=C84D01262AFAFB52&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-0772ba0219510d39--6NYlbfkN0CthXKa066MuOd8H_kjUZ_Xy0aKmCHa9jJwiRkr-SpuiV3jQnMQ6eKLzpNQymsYjy96ViB5yzrjm21DQ2QlvH9k_b5T_7L8ZNki-bM4Ws1b-qgQWYL2glQ1lYI2Aa2b2yQC339jx1t3w9IaH0Z2sMsxoHP1l-wH2_lopYJrenqUrJbVLTQDxAopkBhjZs8U_NBfOMZGqR8xME3Kw2VyLpPqUS-9KOQjRTB89UfyISOBsUs4u-35t8uEPa_4HUA-3PcnjGH_euKUv0_Y5fWlTl6MYTgk7J3b8vXdzr9pcOWNUBVOkqmpn6pzEwT6S80-CD1ud24o3xqPe_NmLQvHfrtF-lV92VbYFYPfZRNQeFVT7KvP_ydG2BXkzMSg74-XAVDVdKCmosO9iz67M9Zcl_2N485lF3DtYosd1KvxATbwDiHZUS9D2nLX2faJp_Z_aGTj9t777TVgfpaAv0p2NMw4nT2wchkFMjrGf1--mEzoEmjjEacviUoF9yS9cShCootmmuKliNYRlAAbiA-Et4wQZIdHLw9w1NBUnhAl-UkANIA0ZzVdyJvFCg8JvTyX90bv-uAhWhktXTjwBYDsLghTAcMQ542RZSwAJ9zmIZzJpT55YprByjZ9djHn6-5VQq6SFl599Ii_rg-cHn2FS41LIRXSEs5GgAIYyPSKNKmsmLgnFcYHCrxB67uwzuJfT-BFL_HwOm_n97VY2qS6DwK1G2G1X26xaiDdL5VbqxyqKA%3D%3D
5,WMS Analyst,National Distribution and Contracting,$52K - $77K (Glassdoor est.),Nashville,TN,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_93c64451&cb=1671241408407&jobListingId=1008331682520&cpc=7AC64E0868DC437F&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-30ede5eaab793287--6NYlbfkN0BWfBDmTRW9geVGu3zPpN2Mfnusrhe0gLqVbvZ0iwd_8w_fXAZwgkAG08sbXm3wmFs_H0J8E0oac5LA6b7QMDJtTTOag2vSj4Z6MhkmJoZqCH6CZPOGSao01nDEK2U5Hjz48UIvd9IIJFLbXi3OW2AwVQZXRqrtdscaqwZhkX1aLue_C8pTWGdsxrwssSMaTz54itudgQMUtj8y9S1k85g8eLCgqJmXFeP4ItmB1TRKIXr7LbftZfz5A9oAC-w1QM4ulHsATCbthu03JZi7QzbtZ_7x0tQu-RZ4SyqNUrAF_9YDzFFs6waW4iYiMDdMUYW3H-VWoFs-SSM9nH2TRz9z5qOKA646xY05j06DG47_yT1hcvQhV43RHmU-xxwQ7jh_WUTDTojzosVzksxqU39zaTkKm6KWIRXOgSPXhi4n9l6eMhj4A88vkBOFvVORjlxquPwKaVxs7ccZdR2HwuJ_ebsvCNIOEukPAMk7PvxtE6gNhIP_Gbic9QV_fAZIIkJ4hPXYp696kv6gvEhPpkgBYMpD0zugK9QVbVppKd1JmFsOBQkDTlb65FB_iusgvz6XnvuWgLNyKg%3D%3D
6,Senior Director Data Analytics-SWHR,Southwestern Health Resources,$140K - $210K (Employer est.),Farmers Branch,TX,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_35181851&cb=1671241408407&jobListingId=1008323886403&cpc=1B441CF255E04BBA&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-c1b86a8fa9060da4--6NYlbfkN0AlnTqN-qAUYxvjIEnNhuyJGKkyoziHAMK68J_KMzSmkM1qo3K5raHGA60upzVVTm5_XG7QQn-waEF4AAiqPEjKz3tk25ek_tbojqel6YFi5HhwB446mAKgLvlp_q5rQb7mKhcN2ZADDnaUMc85MSSNmMzUutpWuc50oQepbAg558GJms1uCMczjl-gOFcqU1Q9tc7f08rtIqtMltNlAMzca2NpTC3qOniO9KEdcMTQA4RkgtgfKr6p8UQki6doc4nL7CFobcmM-9wmb8ZRYs2AqEJjXITGn8vIygrOnJYNMf2j8ZCJj74gs2aNkTiUvKNX2Qm3R8LZHM7R5hPHZtwhX-AVpbVcVMDuwTF3FShwnwR8XUlqrbfWdHlnC57YNuVIV8pH0m9xkuGlbz977eL1Ay0QYDuapI7E4FlCKJWLDpzC4Z9IFUmhuX3O3L033DOZ-pHG8b9Y67JYCYbtfIslLXP5x-a7IDPQr2-PLvYiX-F2TABtgyUq4S0Fe9bZ17Zm1zV8KsjfwH4o3SSTQoQmn6IBUoewX4AUd7DhcuM0uaTLyfgrSnUCPcOQ8N-KQFCxxjDmKDh0Sdl4Oss1Q6VZZkfWgDnmhi_s7pL2VBkHg_J8SUys2RE-
7,Technical Communications Specialist,The David J. Joseph Company,$43K - $62K (Glassdoor est.),Cincinnati,OH,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_23b44d75&cb=1671241408407&jobListingId=1007874041631&cpc=58D83D412A201EEE&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-60d48edccfe159a0--6NYlbfkN0AoDy38ra1uvRb2q_3WRISrE9qOwIWu-IalkHkX_ajrPK1dFAIWB0a-5yzf3hRlj9NC6jO9df70MC8QCKJHOr_eJVnAAsRCWI6ZJgLY2zjmVaf9WuMPJk7h5bOygmuklAP3Vl6ru4Fsy51jBM41L7N5VWtWB83Lr_3YmkCk5xcrgb0sk52UqqNqrh345qSqmHV65Dp3G7V-XpTQRN2VqfKxJ9ZqrRaZv5rrQhSPFc8myHFTkX7x9jLzm6jV6G2I_HmiLAUHgGYwd2sSezQStdwMfvQR3q7NBj4fumPrnv4c8NFl0ViFMx-Y0I4fNcBEkvVc2oLm9hb_X4A3WHQO9uF51YrMOAMSJdlrTmbXS8ttr7N7ehCIve9m0SEtEVSDjM2WJSWxSSfSuSq8T6-Tc5yPa-blI3LCRjLIQBp9o7vUAvlnjh5teMwPrEiklqoqXMGMLnBYQgQoRLzt-CHJGPeKdBqBDJN3kS21pGgp6e_ZmPUv8vCO6KtKCpPHoEuc7SBgrQ5WuuNfPKH3yS-2p8tHV2OVBPYhK1TEFP3HYo1HV40PTVhtAxv1lBesAzD2ZkR_XBx6Iam6XyaAS1YE7Vy1lUMJSkoEgwkYquAESSPYJl5MxziupZYTAqHEiVfFErQB22gnOLVY01dFNpcQdIVRlbi7GHLra5Fi8zVA9kD30A%3D%3D
8,"Manager, Analytics and Evaluation",Association of American Medical Colleges,$74K - $113K (Glassdoor est.),Washington,DC,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_e87a1bd6&cb=1671241408407&jobListingId=1008047898127&cpc=1F1E8215D5502A0B&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-46707c4603418f87--6NYlbfkN0Cyg51Y8liRZ6ctbnrNX8IlCbmX5PtyF3q1tTdHAC5OLHLtFwX1dNvSouEPME88GsAErs191hFXFUospKj-bONWn6kU34XDANDfUjWK6doFDBR889nHfGG4_8OCwI9EI1WRz5Toc0LXs8-2VbiY0hQywjO_h8T-RoJv5fr3kJYQRPbO_TP2pSXRoOodVZzYPJHIPyda3UhKJlKNT7cJLXTsKc8zZDBDiJuVtoHr9dqfsMX-BK1DXMKvJCgZYAW3MLxDwTLtEvsTWfCZqDSoRDKNTFDp9KJGNJxim1cAMcTAhILtQl3L4VFybGUCvL0r0GMlh7oFPC6PQqf2jZfJ20ZhSYdgvKkHxblpNXeO5dJfnRiP051cIk-WnkzuyDo8LMs-gnu8uwAfrejnRPsu96fvQGD-R9PRemKrHA9VyNQHhxocRsmSZYmoSYXCIki755fxnpyAyg-IiwoLQDlZCIk-JW7r0XDcueZkDIxaqboqmKwHNV_YJ1vdns7QMYCjXqG-N-QzV9NCFWtAQExCwFHd3eZk1oPXq-PHnljsQXz3t3M63vojhUQcB5lbejsKZhKOv1zsWLWtMg1nVMCW86tPU6kYnUAZd_yPhDoDssxpO2NqDTy8iWLz2qpU_LMWPZthX8enqbseiEsbwpcJsbEjvTNyPPCvXIs%3D
9,Technical Manager - Business Intelligence,UC Health,$77K - $110K (Glassdoor est.),Cincinnati,OH,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001851dc01dba96ec5c329195c7c0&src=GD_JOB_AD&t=SR&vt=w&cs=1_bb04d7ca&cb=1671241408407&jobListingId=1008166407378&cpc=DFA6FB5D84EF5131&jrtk=3-0-1gkes07f22ci6001-1gkes07fo28uu000-bf8a464da9ba7ab2--6NYlbfkN0Ak65u5BUtsC6nXTIw26GmiuM3mPvZN1FIlCNbCsoxlR5QycffGkWPW5NIWwjvPfp5Cpz4W8Qum9R9devtUHLLYXUMxMNRya0xlFDzC4htomfrXF18J-odmupUAkQyN7dqiur09-D8qqF8S-endaMz2wo_JSgo54jOcP-_GMrihapIDH1b5YxjWFGO3spN5_MDXYdQCaBS5kJ5LREuKWWw9bbnsPzFhrpQh6HCfVVoexRGpPxZoMKFQUDQFSTIXZ31p9hJMCECSpZVvMGrJpmUTr4TbJ6PJo1raZQt8GpsniO1Ew3tJjKHWvlAakJiCoS8pDaK-JrJ9BTggAIU9Y3WmYLmlspI4cR8LYbs5KojqFrSvweOAu38rEnqbBrX8Hp0_Bjk9WU1Rt_UI8RwlvYTJb2ffRUHUbuZoDAFfEiT5ezLZuZbOmJFa5eZKgntDk-EElYJQcUtMQwH8zg3Tw4KV0kzY7KKC-Ipa6VkCH1jw88BoRvAUWBWdRKKGAmCCs5AgXw3kAEmDUom5ODMIVlCuf-5GK9dhYxPu62AMEv4bGV3i4e0NbxMQk4E25GIm4S83BWovwhs0asogKebK89kfb4InwlEuJj_mOYwkgjSabped_wjUWyEtrdrq0cvI0BCdJoWn5zFL2gmsAVaQkE9c7lPs97sztx9rcW1zQXyW16Ry9R2GSMrg
