,job title,company name,city,state,qualifications
0,Data Science Intern,Pitney Bowes Inc.,Stamford,CT,https://jooble.org/away/-6779892617394765242
1,Director-Data Science,American Express Company,United States,N/A,https://jooble.org/away/5800903726875071520
2,Data Science Intern,Intuitive,Sunnyvale,CA,https://jooble.org/away/-3413996559529515936
3,Manager-Data Science,American Express Company,United States,N/A,https://jooble.org/away/8605992044811224146
4,Data Science Intern,Dassault Systèmes,New York State,N/A,https://jooble.org/away/-9197896389703641323
5,Data Science Intern,Novelis Inc.,Atlanta,GA,https://jooble.org/away/-5891220034445053838
6,"Manager, Data Science",Humana,Louisville,KY,https://jooble.org/away/-1995880941581826325
7,Data Science Intern,Cadent,Philadelphia,PA,https://jooble.org/away/-4154498657990035794
8,"Scientist, Data Science",XPO Logistics,Cambridge,MA,https://jooble.org/away/4971317255272557796
9,Manager Data Science,Discover,Riverwoods,IL,https://jooble.org/away/-6164392094842805494
10,Data Science Intern,Labcorp,Durham,NC,https://jooble.org/away/7424794723128644939
11,Principal Data Science,Discover,Riverwoods,IL,https://jooble.org/away/-5010894473813280524
12,Manager Data Science,Discover,Riverwoods,IL,https://jooble.org/away/-5974712267660895451
13,Data Science,Koniag Government Services,Clarksburg,WV,https://jooble.org/away/-2976269369205811930
14,Director of Data Science,Harnham,California,N/A,https://jooble.org/away/4820786626606139431
15,Head of Data Science,Harnham,Denver,CO,https://jooble.org/away/7397080374583629904
16,Data Science Engineer,Irvine Technology Corporation,Los Angeles,CA,https://jooble.org/away/8073249122180371817
17,Data Science Intern,HP Inc.,Tulsa,OK,https://jooble.org/away/-2327539502794060488
18,Data Science Internship,C Spire,Ridgeland,MS,https://jooble.org/away/5439435485006666368
19,Data Science Manager,Sterling Engineering,Bolingbrook,IL,https://jooble.org/away/-5610077628787147990
