date,state,positive,deaths,deathIncrease,negativeIncrease,positiveIncrease,positiveCasesViral
20210307,CA,3501394,54124,258,0,3816,3501394
20210306,CA,3497578,53866,418,0,4452,3497578
20210305,CA,3493126,53448,400,0,4659,3493126
20210304,CA,3488467,53048,273,0,3504,3488467
20210303,CA,3484963,52775,278,0,3352,3484963
20210302,CA,3481611,52497,303,0,2533,3481611
20210301,CA,3479078,52194,215,0,3516,3479078
20210228,CA,3475562,51979,158,0,4685,3475562
20210227,CA,3470877,51821,439,0,5151,3470877
20210226,CA,3465726,51382,391,0,5400,3465726
20210225,CA,3460326,50991,1114,0,4965,3460326
20210224,CA,3455361,49877,314,0,5303,3455361
20210223,CA,3450058,49563,225,0,3447,3450058
20210222,CA,3446611,49338,233,0,4665,3446611
20210221,CA,3441946,49105,280,0,6760,3441946
20210220,CA,3435186,48825,481,0,6668,3435186
20210219,CA,3428518,48344,420,0,6798,3428518
20210218,CA,3421720,47924,417,0,5573,3421720
20210217,CA,3416147,47507,400,0,4090,3416147
20210216,CA,3412057,47107,64,0,5692,3412057
20210215,CA,3406365,47043,200,0,6487,3406365
20210214,CA,3399878,46843,408,0,8842,3399878
20210213,CA,3391036,46435,433,0,9421,3391036
20210212,CA,3381615,46002,546,0,10059,3381615
20210211,CA,3371556,45456,461,0,8575,3371556
20210210,CA,3362981,44995,518,0,8390,3362981
20210209,CA,3354591,44477,327,0,8251,3354591
20210208,CA,3346340,44150,208,0,10414,3346340
20210207,CA,3335926,43942,295,0,15064,3335926
20210206,CA,3320862,43647,623,0,12394,3320862
20210205,CA,3308468,43024,558,0,14021,3308468
20210204,CA,3294447,42466,655,0,13176,3294447
20210203,CA,3281271,41811,481,0,10501,3281271
20210202,CA,3270770,41330,422,0,12064,3270770
20210201,CA,3258706,40908,211,0,15358,3258706
20210131,CA,3243348,40697,481,0,18974,3243348
20210130,CA,3224374,40216,638,0,18427,3224374
20210129,CA,3205947,39578,617,0,19337,3205947
20210128,CA,3186610,38961,737,0,16696,3186610
20210127,CA,3169914,38224,697,0,16728,3169914
20210126,CA,3153186,37527,409,0,17028,3153186
20210125,CA,3136158,37118,328,0,27007,3136158
20210124,CA,3109151,36790,429,0,24111,3109151
20210123,CA,3085040,36361,593,0,22972,3085040
20210122,CA,3062068,35768,764,0,23024,3062068
20210121,CA,3039044,35004,571,0,19673,3039044
20210120,CA,3019371,34433,694,0,22403,3019371
20210119,CA,2996968,33739,146,0,23794,2996968
20210118,CA,2973174,33593,201,0,30699,2973174
20210117,CA,2942475,33392,432,0,42229,2942475
